2019-12-27 15:11:59.372 [Thread-14] INFO  o.s.orm.jpa.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
2019-12-27 15:11:59.373 [Thread-14] INFO  o.h.t.s.i.SchemaDropperImpl$DelayedDropActionImpl - HHH000477: Starting delayed evictData of schema as part of SessionFactory shut-down'
2019-12-27 15:11:59.434 [Thread-14] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} closing ...
2019-12-27 15:11:59.438 [Thread-14] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} closed
2019-12-27 15:12:17.112 [main] INFO  com.cicoding.integration.MmWebApplication - Starting MmWebApplication on wangjundeMBP.lan with PID 4586 (/Users/wangjun/java-local/spring-boot/cicoding-web/target/classes started by wangjun in /Users/wangjun/java-local/spring-boot)
2019-12-27 15:12:17.115 [main] INFO  com.cicoding.integration.MmWebApplication - The following profiles are active: dev
2019-12-27 15:12:17.950 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2019-12-27 15:12:17.951 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data repositories in DEFAULT mode.
2019-12-27 15:12:17.988 [main] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport - Spring Data JPA - Could not safely identify store assignment for repository candidate interface com.cicoding.integration.mongo.MyMongoRepository.
2019-12-27 15:12:18.015 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 58ms. Found 1 repository interfaces.
2019-12-27 15:12:18.032 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2019-12-27 15:12:18.032 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data repositories in DEFAULT mode.
